Tag,Positive Count,Negative Count,Accuracy,Positive Accuracy,Negative Accuracy
Textures,810,101075,0.6645617635113884,0.38765432098765434,0.9414692060351224
Tools,1618,100267,0.5170972366574818,0.049443757725587144,0.9847507155893763
Tooltip,716,101169,0.6840441799608388,0.3715083798882682,0.9965799800334094
Traditional,176,101709,0.5012825415914745,0.005681818181818182,0.9968832650011307
Traits,178,101707,0.6225306213939292,0.25280898876404495,0.9922522540238135
Translation,194,101691,0.6337135178157967,0.28350515463917525,0.9839218809924182
Tweaks,2376,99509,0.5248046062733679,0.05808080808080808,0.9915284044659277
UI,970,100915,0.6096232615894462,0.43608247422680413,0.7831640489520884
Utility,1424,100461,0.5063415799232952,0.016853932584269662,0.9958292272623207
Vehicle,1321,100564,0.7277776730609536,0.46707040121120363,0.9884849449107036
Video,2023,99862,0.5939680669358317,0.21997034107760752,0.9679657927940558
Weapons,5255,96630,0.5996291828138229,0.23006660323501427,0.9691917623926317
World,445,101440,0.6554888814553574,0.3707865168539326,0.9401912460567823
World Gen,733,101152,0.5099897138578852,0.020463847203274217,0.999515580512496
